587,693
693,85
37,656
738,30
499,558
516,110
69,624
338,693
410,587
560,928
337,217
271,682
217,42
842,109
219,454
561,441
329,135
939,433
487,832
111,483
673,40
601,837
903,713
418,852
177,74
912,795
952,539
957,160
920,874
773,95
68,360
950,744
140,711
853,245
944,430
12,947
449,869
888,785
546,656
110,39
360,799
973,698
913,310
534,351
109,8
434,601
156,433
718,879
12,995
304,848
799,88
172,883
604,862
840,154
96,518
198,844
291,147
804,798
309,912
167,50
38,253
488,669
329,700
317,461
425,367
222,941
695,866
487,655
36,817
558,265
873,618
390,816
81,599
505,995
926,979
469,584
564,819
37,433
224,857
234,669
759,110
575,576
385,800
91,91
956,412
85,778
229,319
231,642
653,752
480,403
425,569
784,25
883,450
98,501
746,619
663,621
80,228
159,989
654,466
779,656
