1000,859
922,514
390,597
314,409
305,308
584,266
334,738
20,346
518,726
217,764
15,449
770,644
558,627
583,490
618,213
257,104
511,470
331,897
699,647
435,797
882,614
145,17
617,97
406,436
405,546
322,753
732,990
542,42
116,4
970,548
385,801
729,831
611,515
147,9
800,261
427,139
817,782
623,629
528,228
596,388
883,738
518,431
777,517
295,754
198,536
202,92
670,470
361,912
735,613
288,259
886,604
756,490
209,981
608,36
759,899
714,29
989,266
603,19
398,59
229,473
592,748
657,63
802,426
144,456
791,403
456,718
660,762
343,82
747,583
474,905
489,572
39,997
659,754
1,652
862,121
167,690
182,769
495,722
385,330
643,20
763,706
915,699
512,797
965,823
451,976
870,636
822,847
259,294
411,185
395,30
113,166
24,932
98,392
447,623
144,831
502,21
869,836
746,787
853,354
14,981
332,25
7,461
503,239
458,690
75,337
463,20
546,420
48,637
987,630
612,709
651,548
691,381
780,51
3,427
966,937
560,491
554,436
59,70
831,813
770,532
166,826
366,237
133,375
214,895
516,682
893,71
907,637
871,316
155,55
251,25
356,899
702,564
107,928
570,440
421,772
772,705
823,967
597,449
940,636
646,543
44,41
928,705
204,426
119,9
936,589
471,886
12,692
901,748
902,662
330,442
106,907
428,792
609,350
109,293
53,201
335,216
357,24
942,426
215,136
479,573
482,169
452,172
278,122
210,294
168,179
769,493
1000,466
778,122
320,16
478,970
761,486
553,166
495,851
584,230
287,945
295,535
896,469
24,679
302,827
548,363
454,377
464,580
745,676
969,611
114,207
141,489
454,370
187,336
568,178
198,213
125,88
601,474
719,453
950,167
334,385
797,741
978,826
939,431
905,95
266,496
8,435
980,918
522,450
371,937
52,304
560,820
944,514
174,888
782,47
145,323
643,977
739,823
906,166
319,212
4,763
154,351
255,241
685,601
142,41
361,942
564,873
778,245
618,174
14,261
100,196
363,5
832,422
557,295
746,591
117,471
809,599
67,1000
252,827
364,278
927,348
352,241
810,175
793,708
539,383
753,623
450,212
607,984
269,941
192,228
182,830
588,36
548,7
758,413
113,913
944,51
