509,606
328,606
138,474
592,962
550,492
191,632
494,630
150,128
651,515
662,424
328,924
599,402
485,146
68,605
794,949
835,646
532,987
559,180
834,933
519,74
875,381
260,426
119,460
20,445
738,343
505,442
472,405
222,983
130,916
4,7
101,861
486,951
15,529
655,391
943,587
197,200
441,760
91,551
875,389
917,404
82,128
797,920
315,376
697,105
815,436
667,25
21,938
744,850
104,618
73,975
483,44
967,305
581,474
745,223
357,990
980,368
950,271
596,293
345,254
321,783
253,605
313,30
698,573
433,570
496,460
516,746
340,338
44,69
569,929
476,324
427,685
108,352
412,924
682,1000
186,693
869,689
947,210
321,529
256,259
271,687
